taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
5331181,Viola odorata L.,5331181,Viola odorata L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Violaceae,6631,Viola,2874237.0,Viola odorata,5331181.0,Not Evaluated
6371028,Rhamnus saxatilis Jacq.,6371028,Rhamnus saxatilis Jacq.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rhamnaceae,2407,Rhamnus,3039471.0,Rhamnus saxatilis,6371028.0,Not Evaluated
6437976,Cistus ladanifer L.,6437976,Cistus ladanifer L.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Cistus,2874026.0,Cistus ladanifer,6437976.0,Not Evaluated
2703124,Melica ciliata L.,2703124,Melica ciliata L.,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Melica,2703093.0,Melica ciliata,2703124.0,Not Evaluated
3067353,Euphorbia characias L.,3067353,Euphorbia characias L.,29,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Euphorbiaceae,4691,Euphorbia,11397237.0,Euphorbia characias,3067353.0,Not Evaluated
3040227,Populus nigra L.,3040227,Populus nigra L.,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Salicaceae,6664,Populus,3040183.0,Populus nigra,3040227.0,Data Deficient
7331381,Helianthemum cinereum (Cav.) Pers.,7331381,Helianthemum cinereum (Cav.) Pers.,37,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Helianthemum,2874068.0,Helianthemum cinereum,7331381.0,Not Evaluated
7308613,Teucrium compactum Clemente ex Lag.,7308613,Teucrium compactum Clemente ex Lag.,59,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Teucrium,2926895.0,Teucrium compactum,7308613.0,Not Evaluated
2959128,Dorycnium pentaphyllum Scop.,5632022,Lotus dorycnium L.,29,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Lotus,10220564.0,Lotus dorycnium,5632022.0,Not Evaluated
7327863,Erica terminalis Klotzsch,5682009,Erica curvifolia Salisb.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Erica,2882780.0,Erica curvifolia,5682009.0,Not Evaluated
3891315,Lavandula lanata Boiss.,3891315,Lavandula lanata Boiss.,90,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Lavandula,2927302.0,Lavandula lanata,3891315.0,Least Concern
2684030,Cupressus sempervirens L.,2684030,Cupressus sempervirens L.,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Cupressus,10225588.0,Cupressus sempervirens,2684030.0,Least Concern
3140457,Lactuca tenerrima Pourr.,3140457,Lactuca tenerrima Pourr.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Lactuca,3140231.0,Lactuca tenerrima,3140457.0,Not Evaluated
8406533,Pinus uncinata Steud.,8406533,Pinus uncinata Steud.,6,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Pinus,2684241.0,Pinus uncinata,8406533.0,Not Evaluated
5376895,Lepidium petrophilum Coss.,5376874,Lepidium hirtum (L.) Sm.,2,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Lepidium,3051713.0,Lepidium hirtum,5376874.0,Not Evaluated
2685464,Abies pinsapo Boiss.,2685464,Abies pinsapo Boiss.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Abies,2684876.0,Abies pinsapo,2685464.0,Endangered
4165703,"Arctostaphylos uva-ursi subsp. crassifolia (Braun-Blanq.) Rivas Mart. ex De la Torre, F.Alcaraz & M.B.Crespo",4165703,"Arctostaphylos uva-ursi subsp. crassifolia (Braun-Blanq.) Rivas Mart. ex De la Torre, F.Alcaraz & M.B.Crespo",11,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Arctostaphylos,2882486.0,Arctostaphylos uva-ursi,2882580.0,
5414995,Digitalis purpurea L.,5414995,Digitalis purpurea L.,18,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Digitalis,3172032.0,Digitalis purpurea,5414995.0,Not Evaluated
11058681,"Pinus ponderosa Douglas ex Loudon, 1838",11058681,"Pinus ponderosa Douglas ex Loudon, 1838",2,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Pinus,2684241.0,Pinus ponderosa,11058681.0,Not Evaluated
3701787,Coriaria myrtifolia L.,3701787,Coriaria myrtifolia L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Coriariaceae,3701754,Coriaria,7323108.0,Coriaria myrtifolia,3701787.0,Not Evaluated
3054368,Juglans regia L.,3054368,Juglans regia L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fagales,1354,Juglandaceae,2499,Juglans,3054350.0,Juglans regia,3054368.0,Least Concern
3141571,Mantisalca salmantica (L.) Briq. & Cavill.,3141571,Mantisalca salmantica (L.) Briq. & Cavill.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Mantisalca,3141558.0,Mantisalca salmantica,3141571.0,Not Evaluated
5347816,Genista florida L.,5347816,Genista florida L.,13,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Genista,2940025.0,Genista florida,5347816.0,Not Evaluated
