taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4932234	Dactylis glomerata subsp. hispanica (Roth) Nyman	4932234	Dactylis glomerata subsp. hispanica (Roth) Nyman	103	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Dactylis	2705307	Dactylis glomerata	2705308	
2795869	Cephalanthera longifolia (L.) Fritsch	2795869	Cephalanthera longifolia (L.) Fritsch	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Cephalanthera	2795844	Cephalanthera longifolia	2795869	NE
3045178	Alyssum granatense Boiss. & Reut.	3045178	Alyssum granatense Boiss. & Reut.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Alyssum	3044728	Alyssum granatense	3045178	NE
3899231	Ziziphora hispanica L.	3899231	Ziziphora hispanica L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Ziziphora	7308760	Ziziphora hispanica	3899231	NE
5578470	Globularia alypum Delile	5578470	Globularia alypum Delile	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Globularia	3233698	Globularia alypum	5578470	NE
5668144	Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & Fuertes	5668144	Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & Fuertes	6	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Plumbaginaceae	2419	Armeria	3082288	Armeria filicaulis	7298105	
8162318	Ephedra distachya Forssk., 1775	8162318	Ephedra distachya Forssk., 1775	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Gnetopsida	282	Ephedrales	424	Ephedraceae	3114	Ephedra	2653237	Ephedra distachya	8162318	NE
3121319	Artemisia absinthium L.	3121319	Artemisia absinthium L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Artemisia	3120641	Artemisia absinthium	3121319	NE
3742445	Anarrhinum laxiflorum Boiss.	3742445	Anarrhinum laxiflorum Boiss.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Anarrhinum	7333412	Anarrhinum laxiflorum	3742445	NE
10356062	Lathyrus L.	10356062	Lathyrus L.	6	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lathyrus	10356062			NE
